scenario,risk_decile,population_type,mean,median,count
AI-only,0,A,14.918347051407768,1.2610676463809796,5463
AI-only,0,B,17.694086398673296,2.011886324020452,72
AI-only,1,A,8.175640755213486,1.0823909768464546,5472
AI-only,1,B,6.194751727761246,0.7026306218685932,203
AI-only,2,A,5.361611053735547,0.8549221402336116,5172
AI-only,2,B,4.586634085927288,0.5208433163352311,525
AI-only,3,A,3.699200969435247,0.7189249668153934,4663
AI-only,3,B,3.6017363670672577,0.6539406612428138,954
AI-only,4,A,2.775937045386532,0.6311571234255098,3439
AI-only,4,B,2.7068318407096923,0.6448356150649488,2148
AI-only,5,A,2.308257641287342,0.6404828577651642,2389
AI-only,5,B,2.356331510804109,0.645916275876516,3220
AI-only,6,A,1.8854303335886302,0.3620190866986377,934
AI-only,6,B,1.8562524181542865,0.4815378451603465,4559
AI-only,7,A,1.6049981356850376,0.5321142222965136,495
AI-only,7,B,1.590634076239121,0.4129165144113358,5000
AI-only,8,A,1.4409801896206011,0.06272196608551894,104
AI-only,8,B,1.4055810028372269,0.47560280124889687,5422
AI-only,9,A,1.4500225439120413,0.9377692451962503,28
AI-only,9,B,1.1862211530902367,0.342018044917495,5534
Baseline,0,A,4.233217012989937,1.3947213081555674,5408
Baseline,0,B,3.5246657168216475,0.5399037313181907,83
Baseline,1,A,4.312720920209213,1.2092652026913129,5293
Baseline,1,B,4.0824777333111175,0.999667629293981,198
Baseline,2,A,4.248138975692613,1.3395026532525662,5060
Baseline,2,B,4.210778731901762,1.0641342135822924,526
Baseline,3,A,4.162536088646254,1.2296985057764687,4597
Baseline,3,B,4.627263399300678,1.4821491458751552,1002
Baseline,4,A,4.271990285128095,1.3463070737780072,3415
Baseline,4,B,4.133177157447682,1.0377792429935653,2075
Baseline,5,A,4.358806985486449,1.4185476241837023,2324
Baseline,5,B,4.010513269733422,1.223525618101121,3190
Baseline,6,A,4.766908019823447,1.632965187454829,947
Baseline,6,B,4.321610135152059,1.4257532364572398,4593
Baseline,7,A,4.387388416800448,1.4356742405798286,503
Baseline,7,B,4.076647809655264,1.11224528647017,5062
Baseline,8,A,4.221980679956084,1.1436521220603026,107
Baseline,8,B,4.207034529843517,1.316283187828958,5484
Baseline,9,A,5.948861676644425,0.0,33
Baseline,9,B,4.227041202767579,1.242616067000199,5610
Hybrid,0,A,12.479183451933817,1.2643315506138606,5561
Hybrid,0,B,8.385256952838962,1.7851804939427893,93
Hybrid,1,A,7.611887372364017,0.883335713238921,5247
Hybrid,1,B,8.163543461703151,1.6907440942013636,195
Hybrid,2,A,5.1133627551749,0.7546579677728005,4945
Hybrid,2,B,5.468502132226973,1.0151990343583748,493
Hybrid,3,A,3.5984455696690123,0.6722068015806144,4558
Hybrid,3,B,3.8835413474183964,0.6597523565869778,983
Hybrid,4,A,2.878937062675078,0.5162124928974663,3380
Hybrid,4,B,2.8366912591073468,0.5751507598324679,2141
Hybrid,5,A,2.206317156427342,0.5782729553757235,2341
Hybrid,5,B,2.271375801280184,0.5265285462555767,3248
Hybrid,6,A,1.9619493777294272,0.4771080212931338,932
Hybrid,6,B,1.8223973916633578,0.43385001964634284,4655
Hybrid,7,A,1.6493968111476394,0.5447747490834445,521
Hybrid,7,B,1.5562712117640227,0.43150315157254227,5004
Hybrid,8,A,1.2018902584637203,0.1713035834254697,112
Hybrid,8,B,1.3333431724370515,0.31437798915430903,5470
Hybrid,9,A,0.5738142293183924,0.0,29
Hybrid,9,B,1.2067041579594804,0.3473471511679236,5488
Imperfect-AI,0,A,14.222412127602675,1.8093038342194632,5610
Imperfect-AI,0,B,8.604702522214566,0.0,92
Imperfect-AI,1,A,8.072754867237418,1.1139765160914976,5344
Imperfect-AI,1,B,8.675730048757211,1.1235032302356558,210
Imperfect-AI,2,A,5.2869102105533035,0.8904001354821958,5033
Imperfect-AI,2,B,5.688792616619489,1.3367202957742848,497
Imperfect-AI,3,A,4.1301878767261035,0.9054241920821369,4600
Imperfect-AI,3,B,3.7276463386892424,0.7547472411533818,967
Imperfect-AI,4,A,2.8284703943569087,0.6569145580842815,3440
Imperfect-AI,4,B,3.0321765751223455,0.8176193277031416,2232
Imperfect-AI,5,A,2.317080391365768,0.5480230419198051,2323
Imperfect-AI,5,B,2.316907866827342,0.5751895084249554,3142
Imperfect-AI,6,A,1.819452475004143,0.4699448919855058,942
Imperfect-AI,6,B,1.8814976015871427,0.49836763412167784,4746
Imperfect-AI,7,A,1.65878680593592,0.6785363919043448,471
Imperfect-AI,7,B,1.7211636152190544,0.5573087811935693,5150
Imperfect-AI,8,A,1.4231589354699727,0.47849568554374855,102
Imperfect-AI,8,B,1.353635859063031,0.44214704691148654,5457
Imperfect-AI,9,A,1.0561203852146372,0.7836794993490912,21
Imperfect-AI,9,B,1.2523558582472456,0.4352046195999719,5507
